"Site","Monitor","Date","StartHour","Value","AppliesToNatl","AppliesToSt","CollectionMethod","QuantificationMethod"
2115,1,2003-11-05,0,17,1,1,"RP2K","GRAV"
2115,1,2003-11-11,0,13,1,1,"RP2K","GRAV"
2115,1,2003-11-17,0,14,1,1,"RP2K","GRAV"
2115,1,2003-11-23,0,32,1,1,"RP2K","GRAV"
2115,1,2003-11-29,0,10,1,1,"RP2K","GRAV"
2115,1,2003-12-05,0,8,1,1,"RP2K","GRAV"
2115,1,2003-12-12,0,10,1,1,"RP2K","GRAV"
2115,1,2003-12-17,0,33,1,1,"RP2K","GRAV"
2115,1,2003-12-23,0,17,1,1,"RP2K","GRAV"
2115,1,2003-12-29,0,7,1,1,"RP2K","GRAV"
2115,1,2004-01-04,0,39,1,1,"RP2K","GRAV"
2115,1,2004-01-10,0,14,1,1,"RP2K","GRAV"
2115,1,2004-01-16,0,34,1,1,"RP2K","GRAV"
2115,1,2004-01-22,0,65,1,1,"RP2K","GRAV"
2115,1,2004-01-28,0,23,1,1,"RP2K","GRAV"
2115,1,2004-02-05,0,30,1,1,"RP2K","GRAV"
2115,1,2004-02-09,0,21,1,1,"RP2K","GRAV"
2115,1,2004-02-15,0,15,1,1,"RP2K","GRAV"
2115,1,2004-02-21,0,22,1,1,"RP2K","GRAV"
2115,1,2004-02-27,0,8,1,1,"RP2K","GRAV"
2115,1,2004-03-04,0,14,1,1,"RP2K","GRAV"
2115,1,2004-03-10,0,4,1,1,"RP2K","GRAV"
2115,1,2004-03-16,0,4,1,1,"RP2K","GRAV"
2115,1,2004-03-22,0,13,1,1,"RP2K","GRAV"
2115,1,2004-03-28,0,6,1,1,"RP2K","GRAV"
2115,1,2004-04-03,0,8,1,1,"RP2K","GRAV"
2115,1,2004-04-09,0,7,1,1,"RP2K","GRAV"
2115,1,2004-04-15,0,4,1,1,"RP2K","GRAV"
2115,1,2004-04-21,0,6,1,1,"RP2K","GRAV"
2115,1,2004-04-27,0,10,1,1,"RP2K","GRAV"
2115,1,2004-05-03,0,10,1,1,"RP2K","GRAV"
2115,1,2004-05-11,0,2,1,1,"RP2K","GRAV"
2115,1,2004-05-15,0,9,1,1,"RP2K","GRAV"
2115,1,2004-05-21,0,5,1,1,"RP2K","GRAV"
2115,1,2004-05-27,0,6,1,1,"RP2K","GRAV"
2115,1,2004-06-02,0,6,1,1,"RP2K","GRAV"
2115,1,2004-06-08,0,1,1,1,"RP2K","GRAV"
2115,1,2004-06-14,0,4,1,1,"RP2K","GRAV"
2115,1,2004-06-20,0,9,1,1,"RP2K","GRAV"
2115,1,2004-06-26,0,5,1,1,"RP2K","GRAV"
2115,1,2004-07-02,0,11,1,1,"RP2K","GRAV"
2115,1,2004-07-08,0,6,1,1,"RP2K","GRAV"
2115,1,2004-07-14,0,7,1,1,"RP2K","GRAV"
2115,1,2004-07-20,0,3,1,1,"RP2K","GRAV"
2115,1,2004-07-26,0,7,1,1,"RP2K","GRAV"
2115,1,2004-08-01,0,8,1,1,"RP2K","GRAV"
2115,1,2004-08-07,0,4,1,1,"RP2K","GRAV"
2115,1,2004-08-13,0,9,1,1,"RP2K","GRAV"
2115,1,2004-08-19,0,11,1,1,"RP2K","GRAV"
2115,1,2004-08-25,0,5,1,1,"RP2K","GRAV"
2115,1,2004-08-31,0,7,1,1,"RP2K","GRAV"
2115,1,2004-09-06,0,13,1,1,"RP2K","GRAV"
2115,1,2004-09-12,0,7,1,1,"RP2K","GRAV"
2115,1,2004-09-18,0,6,1,1,"RP2K","GRAV"
2115,1,2004-09-24,0,8,1,1,"RP2K","GRAV"
2115,1,2004-09-30,0,15,1,1,"RP2K","GRAV"
2115,1,2004-10-06,0,13,1,1,"RP2K","GRAV"
2115,1,2004-10-12,0,4,1,1,"RP2K","GRAV"
2115,1,2004-10-18,0,4,1,1,"RP2K","GRAV"
2115,1,2004-10-24,0,12,1,1,"RP2K","GRAV"
2115,1,2004-10-30,0,21,1,1,"RP2K","GRAV"
2115,1,2004-11-05,0,25,1,1,"RP2K","GRAV"
2115,1,2004-11-11,0,15,1,1,"RP2K","GRAV"
2115,1,2004-11-17,0,31,1,1,"RP2K","GRAV"
2115,1,2004-11-23,0,44,1,1,"RP2K","GRAV"
2115,1,2004-11-29,0,38,1,1,"RP2K","GRAV"
2115,1,2004-12-05,0,54,1,1,"RP2K","GRAV"
2115,1,2004-12-11,0,32,1,1,"RP2K","GRAV"
2115,1,2004-12-17,0,53,1,1,"RP2K","GRAV"
2115,1,2004-12-23,0,31,1,1,"RP2K","GRAV"
2115,1,2004-12-29,0,3,1,1,"RP2K","GRAV"
2115,1,2005-01-04,0,35,1,1,"RP2K","GRAV"
2115,1,2005-01-10,0,7,1,1,"RP2K","GRAV"
2115,1,2005-01-16,0,32,1,1,"RP2K","GRAV"
2115,1,2005-01-22,0,8,1,1,"RP2K","GRAV"
2115,1,2005-01-28,0,7,1,1,"RP2K","GRAV"
2115,1,2005-02-03,0,54,1,1,"RP2K","GRAV"
2115,1,2005-02-09,0,20,1,1,"RP2K","GRAV"
2115,1,2005-02-15,0,12,1,1,"RP2K","GRAV"
2115,1,2005-02-21,0,6,1,1,"RP2K","GRAV"
2115,1,2005-02-27,0,16,1,1,"RP2K","GRAV"
2115,1,2005-03-05,0,6,1,1,"RP2K","GRAV"
2115,1,2005-03-11,0,5,1,1,"RP2K","GRAV"
2115,1,2005-03-17,0,10,1,1,"RP2K","GRAV"
2115,1,2005-03-23,0,3,1,1,"RP2K","GRAV"
2115,1,2005-03-29,0,3,1,1,"RP2K","GRAV"
2115,1,2005-04-04,0,6,1,1,"RP2K","GRAV"
2115,1,2005-04-10,0,5,1,1,"RP2K","GRAV"
2115,1,2005-04-16,0,8,1,1,"RP2K","GRAV"
2115,1,2005-04-22,0,8,1,1,"RP2K","GRAV"
2115,1,2005-04-28,0,5,1,1,"RP2K","GRAV"
