"date","AOT_at_500nm","filename"
2000-09-23,27000,"MOD09CMA.A2000267.006.2015139031609.hdf"
2000-10-03,NA,"MOD09CMA.A2000277.006.2015139063755.hdf"
2000-09-20,13000,"MOD09CMA.A2000264.006.2015138230426.hdf"
2000-10-12,NA,"MOD09CMA.A2000286.006.2015139073006.hdf"
2000-10-05,NA,"MOD09CMA.A2000279.006.2015139082206.hdf"
2000-09-14,NA,"MOD09CMA.A2000258.006.2015138032102.hdf"
2000-10-11,NA,"MOD09CMA.A2000285.006.2015139065740.hdf"
2000-10-10,NA,"MOD09CMA.A2000284.006.2015139052303.hdf"
2000-09-21,NA,"MOD09CMA.A2000265.006.2015139001403.hdf"
2000-10-01,21000,"MOD09CMA.A2000275.006.2015139043652.hdf"
2000-09-28,NA,"MOD09CMA.A2000272.006.2015139063447.hdf"
2000-10-20,NA,"MOD09CMA.A2000294.006.2015139084845.hdf"
2000-09-22,NA,"MOD09CMA.A2000266.006.2015139022647.hdf"
2000-10-13,29000,"MOD09CMA.A2000287.006.2015139095506.hdf"
2000-10-19,54000,"MOD09CMA.A2000293.006.2015139085549.hdf"
2000-10-09,NA,"MOD09CMA.A2000283.006.2015139040732.hdf"
2000-10-06,20000,"MOD09CMA.A2000280.006.2015139092059.hdf"
2000-10-18,32000,"MOD09CMA.A2000292.006.2015139025043.hdf"
2000-09-29,15000,"MOD09CMA.A2000273.006.2015139063115.hdf"
2000-10-28,NA,"MOD09CMA.A2000302.006.2015139052810.hdf"
2000-10-27,19000,"MOD09CMA.A2000301.006.2015139052218.hdf"
2000-09-30,56000,"MOD09CMA.A2000274.006.2015139032751.hdf"
2000-10-26,NA,"MOD09CMA.A2000300.006.2015139050627.hdf"
2000-10-17,31000,"MOD09CMA.A2000291.006.2015139014556.hdf"
2000-10-21,50000,"MOD09CMA.A2000295.006.2015139070504.hdf"
2000-10-14,NA,"MOD09CMA.A2000288.006.2015139095206.hdf"
2000-11-13,NA,"MOD09CMA.A2000318.006.2015139054053.hdf"
2000-10-07,54000,"MOD09CMA.A2000281.006.2015139090444.hdf"
2000-10-08,16000,"MOD09CMA.A2000282.006.2015139034911.hdf"
2000-11-04,NA,"MOD09CMA.A2000309.006.2015139081050.hdf"
2000-11-03,28000,"MOD09CMA.A2000308.006.2015139045524.hdf"
2000-10-25,NA,"MOD09CMA.A2000299.006.2015139042003.hdf"
2000-10-29,91000,"MOD09CMA.A2000303.006.2015139075328.hdf"
2000-10-22,14000,"MOD09CMA.A2000296.006.2015139063132.hdf"
2000-11-21,NA,"MOD09CMA.A2000326.006.2015139080649.hdf"
2000-10-15,17000,"MOD09CMA.A2000289.006.2015139081205.hdf"
2000-11-12,36000,"MOD09CMA.A2000317.006.2015139054109.hdf"
2000-11-11,56000,"MOD09CMA.A2000316.006.2015139045912.hdf"
2000-11-06,55000,"MOD09CMA.A2000311.006.2015139084319.hdf"
2000-10-16,41000,"MOD09CMA.A2000290.006.2015139014034.hdf"
2000-11-02,39000,"MOD09CMA.A2000307.006.2015139032250.hdf"
2000-10-30,NA,"MOD09CMA.A2000304.006.2015139120421.hdf"
2000-11-29,53000,"MOD09CMA.A2000334.006.2015139080937.hdf"
2000-11-20,NA,"MOD09CMA.A2000325.006.2015139081446.hdf"
2000-11-19,105000,"MOD09CMA.A2000324.006.2015139062852.hdf"
2000-11-14,NA,"MOD09CMA.A2000319.006.2015139082634.hdf"
2000-10-23,57000,"MOD09CMA.A2000297.006.2015139063310.hdf"
2000-10-24,34000,"MOD09CMA.A2000298.006.2015139035108.hdf"
2000-12-07,NA,"MOD09CMA.A2000342.006.2015140082619.hdf"
2000-11-07,25000,"MOD09CMA.A2000312.006.2015139102525.hdf"
2000-11-10,137000,"MOD09CMA.A2000315.006.2015139024603.hdf"
2000-11-27,NA,"MOD09CMA.A2000332.006.2015139054813.hdf"
2000-11-22,NA,"MOD09CMA.A2000327.006.2015139085450.hdf"
2000-10-31,14000,"MOD09CMA.A2000305.006.2015139121657.hdf"
2000-11-01,NA,"MOD09CMA.A2000306.006.2015139021604.hdf"
2000-11-18,68000,"MOD09CMA.A2000323.006.2015139060106.hdf"
2000-11-15,149000,"MOD09CMA.A2000320.006.2015139095244.hdf"
2000-12-05,NA,"MOD09CMA.A2000340.006.2015140071551.hdf"
2000-11-30,266000,"MOD09CMA.A2000335.006.2015139090218.hdf"
2000-12-06,NA,"MOD09CMA.A2000341.006.2015140074315.hdf"
2000-12-23,NA,"MOD09CMA.A2000358.006.2015140115532.hdf"
2000-11-08,NA,"MOD09CMA.A2000313.006.2015139102604.hdf"
2000-12-13,NA,"MOD09CMA.A2000348.006.2015140074612.hdf"
2000-11-09,40000,"MOD09CMA.A2000314.006.2015139020201.hdf"
2000-11-26,NA,"MOD09CMA.A2000331.006.2015139044305.hdf"
2000-11-23,NA,"MOD09CMA.A2000328.006.2015139085457.hdf"
2000-12-08,63000,"MOD09CMA.A2000343.006.2015140083335.hdf"
2000-12-14,NA,"MOD09CMA.A2000349.006.2015140075603.hdf"
2000-12-31,63000,"MOD09CMA.A2000366.006.2015140120214.hdf"
2000-11-16,47000,"MOD09CMA.A2000321.006.2015139101229.hdf"
2000-12-16,37000,"MOD09CMA.A2000351.006.2015140125749.hdf"
2000-11-17,46000,"MOD09CMA.A2000322.006.2015139034335.hdf"
2000-12-04,NA,"MOD09CMA.A2000339.006.2015140071533.hdf"
2000-12-21,NA,"MOD09CMA.A2000356.006.2015140064419.hdf"
2000-12-01,NA,"MOD09CMA.A2000336.006.2015140012711.hdf"
2000-12-22,NA,"MOD09CMA.A2000357.006.2015140074608.hdf"
2001-01-08,NA,"MOD09CMA.A2001008.006.2015140114528.hdf"
2000-12-12,67000,"MOD09CMA.A2000347.006.2015140041950.hdf"
2000-11-24,NA,"MOD09CMA.A2000329.006.2015139082102.hdf"
2000-12-24,NA,"MOD09CMA.A2000359.006.2015140113424.hdf"
2000-12-09,NA,"MOD09CMA.A2000344.006.2015140120137.hdf"
2000-12-29,NA,"MOD09CMA.A2000364.006.2015140052809.hdf"
2000-11-25,NA,"MOD09CMA.A2000330.006.2015139013502.hdf"
2000-12-30,48000,"MOD09CMA.A2000365.006.2015140083317.hdf"
2001-01-16,47000,"MOD09CMA.A2001016.006.2015140111410.hdf"
2001-01-01,118000,"MOD09CMA.A2001001.006.2015140111316.hdf"
2000-12-20,61000,"MOD09CMA.A2000355.006.2015140043656.hdf"
2001-01-06,98000,"MOD09CMA.A2001006.006.2015140084650.hdf"
2000-12-02,63000,"MOD09CMA.A2000337.006.2015140014304.hdf"
2000-12-03,NA,"MOD09CMA.A2000338.006.2015140065122.hdf"
2000-12-17,43000,"MOD09CMA.A2000352.006.2015140114337.hdf"
2001-01-07,NA,"MOD09CMA.A2001007.006.2015140111718.hdf"
2000-12-28,44000,"MOD09CMA.A2000363.006.2015140053319.hdf"
2001-01-09,NA,"MOD09CMA.A2001009.006.2015140082018.hdf"
2000-12-10,NA,"MOD09CMA.A2000345.006.2015140114802.hdf"
2001-01-24,157000,"MOD09CMA.A2001024.006.2015140122109.hdf"
2000-12-25,NA,"MOD09CMA.A2000360.006.2015140114244.hdf"
2001-01-14,53000,"MOD09CMA.A2001014.006.2015140071834.hdf"
2000-12-11,NA,"MOD09CMA.A2000346.006.2015140032754.hdf"
2001-01-15,48000,"MOD09CMA.A2001015.006.2015140114347.hdf"
2001-01-05,41000,"MOD09CMA.A2001005.006.2015140064935.hdf"
2000-12-18,44000,"MOD09CMA.A2000353.006.2015140105625.hdf"
2001-01-17,54000,"MOD09CMA.A2001017.006.2015140121238.hdf"
2001-01-02,NA,"MOD09CMA.A2001002.006.2015140023236.hdf"
2001-01-22,59000,"MOD09CMA.A2001022.006.2015140090007.hdf"
2000-12-19,NA,"MOD09CMA.A2000354.006.2015140032656.hdf"
2001-02-01,NA,"MOD09CMA.A2001032.006.2015140125137.hdf"
2001-01-13,519000,"MOD09CMA.A2001013.006.2015140080254.hdf"
2001-01-23,NA,"MOD09CMA.A2001023.006.2015140111448.hdf"
2001-01-10,NA,"MOD09CMA.A2001010.006.2015140034045.hdf"
2000-12-26,NA,"MOD09CMA.A2000361.006.2015140114522.hdf"
2001-01-25,NA,"MOD09CMA.A2001025.006.2015140114539.hdf"
2001-01-30,105000,"MOD09CMA.A2001030.006.2015140101723.hdf"
2000-12-27,52000,"MOD09CMA.A2000362.006.2015140042251.hdf"
2001-02-09,NA,"MOD09CMA.A2001040.006.2015140122729.hdf"
2001-01-31,44000,"MOD09CMA.A2001031.006.2015140102518.hdf"
2001-01-21,NA,"MOD09CMA.A2001021.006.2015140085040.hdf"
2001-02-02,NA,"MOD09CMA.A2001033.006.2015140124817.hdf"
2001-01-18,109000,"MOD09CMA.A2001018.006.2015140030752.hdf"
2001-01-03,40000,"MOD09CMA.A2001003.006.2015140034755.hdf"
2001-01-04,NA,"MOD09CMA.A2001004.006.2015140064944.hdf"
2001-02-07,34000,"MOD09CMA.A2001038.006.2015140102550.hdf"
2001-02-17,NA,"MOD09CMA.A2001048.006.2015141185224.hdf"
2001-01-29,116000,"MOD09CMA.A2001029.006.2015140053026.hdf"
2001-02-08,58000,"MOD09CMA.A2001039.006.2015140103023.hdf"
2001-01-11,NA,"MOD09CMA.A2001011.006.2015140050124.hdf"
2001-02-10,NA,"MOD09CMA.A2001041.006.2015140122540.hdf"
2001-01-12,23000,"MOD09CMA.A2001012.006.2015140065231.hdf"
2001-01-26,359000,"MOD09CMA.A2001026.006.2015140030326.hdf"
2001-02-15,NA,"MOD09CMA.A2001046.006.2015140091326.hdf"
2001-02-25,392000,"MOD09CMA.A2001056.006.2015141231627.hdf"
2001-02-06,157000,"MOD09CMA.A2001037.006.2015140070822.hdf"
2001-02-16,489000,"MOD09CMA.A2001047.006.2015140092650.hdf"
2001-01-19,89000,"MOD09CMA.A2001019.006.2015140034345.hdf"
2001-01-20,NA,"MOD09CMA.A2001020.006.2015140064517.hdf"
2001-02-03,NA,"MOD09CMA.A2001034.006.2015140031301.hdf"
2001-02-18,NA,"MOD09CMA.A2001049.006.2015141193915.hdf"
2001-02-23,59000,"MOD09CMA.A2001054.006.2015141195947.hdf"
2001-03-05,NA,"MOD09CMA.A2001064.006.2015141202817.hdf"
2001-02-14,42000,"MOD09CMA.A2001045.006.2015140072706.hdf"
2001-02-24,NA,"MOD09CMA.A2001055.006.2015141231637.hdf"
2001-01-27,57000,"MOD09CMA.A2001027.006.2015140025337.hdf"
